ean13;id_product;id_product_attribute;categorie;marque;nom;stock;prix_achat_ht;prix_vente_ht;qte_30j;rotation_30j;rotation_60j;rotation_90j
6941565942661;7826;8564;STABILISATEUR;Dji;"DJI CARTE DE GARANTIE CARE REFRESH OSMO MOBILE SE Dji Care refresh: 1 an";0;5.530000;6.67;0;;;
6941565942807;7826;8565;STABILISATEUR;Dji;"DJI CARTE DE GARANTIE CARE REFRESH OSMO MOBILE SE Dji Care refresh: 2 ans";0;10.380000;13.33;0;;;
6950510861638;7836;3519;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE SIGMA 100-400MM F/5-6.3 DG OS HSM CONTEMPORARY Couleur Lenscoat: Realtree Max 4";0;62.000000;114.92;0;;;
3047451696077;7836;3520;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE SIGMA 100-400MM F/5-6.3 DG OS HSM CONTEMPORARY Couleur Lenscoat: Realtree Max 5";0;65.000000;114.92;0;;;
5382541166245;7836;3521;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE SIGMA 100-400MM F/5-6.3 DG OS HSM CONTEMPORARY Couleur Lenscoat: Noir";0;55.000000;97.42;0;;;
4573999702006;7836;3522;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE SIGMA 100-400MM F/5-6.3 DG OS HSM CONTEMPORARY Couleur Lenscoat: Digital Camo";2;62.000000;109.92;0;0.00;0.00;0.00
5182362522940;7836;3523;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE SIGMA 100-400MM F/5-6.3 DG OS HSM CONTEMPORARY Couleur Lenscoat: Forest Green";0;55.000000;109.92;0;;;
8028110702076;7836;3524;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE SIGMA 100-400MM F/5-6.3 DG OS HSM CONTEMPORARY Couleur Lenscoat: Snow";0;62.000000;114.92;0;;;
;7836;12802;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE SIGMA 100-400MM F/5-6.3 DG OS HSM CONTEMPORARY Couleur Lenscoat: Realtree Edge";0;68.000000;117.42;0;;;
850028833070;7842;3525;MONITEUR/CALIBRATION;Calibrite;"CALIBRITE COLORCHECKER VIDEO Taille: M";5;90.000000;124.17;0;0.00;0.00;0.00
850028833186;7842;3526;MONITEUR/CALIBRATION;Calibrite;"CALIBRITE COLORCHECKER VIDEO Taille: XL";0;277.500000;324.17;0;;;
6940486702880;7851;3530;OBJECTIF;Laowa;"LAOWA OBJECTIF 58MM F/2.8 2X ULTRA MACRO Type de monture: Sony E";0;452.020000;582.50;0;;;
6940486702897;7851;3531;OBJECTIF;Laowa;"LAOWA OBJECTIF 58MM F/2.8 2X ULTRA MACRO Type de monture: Canon RF";0;452.020000;582.50;0;;;
6940486702903;7851;3532;OBJECTIF;Laowa;"LAOWA OBJECTIF 58MM F/2.8 2X ULTRA MACRO Type de monture: Nikon Z";0;452.020000;582.50;0;;;
6940486702910;7851;3533;OBJECTIF;Laowa;"LAOWA OBJECTIF 58MM F/2.8 2X ULTRA MACRO Type de monture: Monture L";0;452.020000;582.50;0;;;
6970758743921;7853;3534;"PRO VIDEO";Hollyland;"HOLLYLAND TRANSMETTEUR VIDEO SANS FIL MARS 4K Hollyland Mars 4k: 1TX + 1RX";1;295.000000;374.08;0;0.00;0.00;0.00
6970758744171;7853;3535;"PRO VIDEO";Hollyland;"HOLLYLAND TRANSMETTEUR VIDEO SANS FIL MARS 4K Hollyland Mars 4k: RX Seul";0;159.000000;199.08;0;;;
;7854;3536;JUMELLES;LensCoat;"LENSCOAT PROTECTION NEOPRENE SWAROVSKI ATS 65 Couleur Lenscoat: Realtree Max 4";0;96.000000;165.75;0;;;
;7854;3537;JUMELLES;LensCoat;"LENSCOAT PROTECTION NEOPRENE SWAROVSKI ATS 65 Couleur Lenscoat: Realtree Max 5";0;101.000000;173.25;0;;;
;7854;3538;JUMELLES;LensCoat;"LENSCOAT PROTECTION NEOPRENE SWAROVSKI ATS 65 Couleur Lenscoat: Noir";0;93.000000;162.42;0;;;
;7854;3539;JUMELLES;LensCoat;"LENSCOAT PROTECTION NEOPRENE SWAROVSKI ATS 65 Couleur Lenscoat: Digital Camo";0;93.000000;165.75;0;;;
;7854;3540;JUMELLES;LensCoat;"LENSCOAT PROTECTION NEOPRENE SWAROVSKI ATS 65 Couleur Lenscoat: Forest Green";0;93.000000;162.42;0;;;
;7854;3541;JUMELLES;LensCoat;"LENSCOAT PROTECTION NEOPRENE SWAROVSKI ATS 65 Couleur Lenscoat: Snow";0;93.000000;165.75;0;;;
;7854;8176;JUMELLES;LensCoat;"LENSCOAT PROTECTION NEOPRENE SWAROVSKI ATS 65 Couleur Lenscoat: Realtree Edge";0;109.000000;174.92;0;;;
;7871;3542;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE SWAROVSKI ATS 80 Couleur Lenscoat: Realtree Max 4";0;96.000000;165.75;0;;;
